url_length,dot_count,slash_count,dash_count,underscore_count,at_count,equal_count,is_https,domain_length,path_length,type
174,3,5,24,0,0,0,1,19,147,good
44,2,5,0,0,0,0,1,17,19,good
63,2,3,0,0,0,4,1,20,1,good
78,3,4,0,0,0,2,1,16,7,good
24,2,3,0,0,0,0,0,16,1,bad
107,2,3,0,0,0,4,1,20,1,good
65,2,3,0,1,0,1,1,15,8,good
475,4,7,15,7,0,8,1,26,53,good
189,2,8,6,2,0,7,1,13,63,good
44,2,5,0,0,0,0,1,17,19,good
25,1,4,0,0,0,0,1,12,5,bad
62,2,3,0,0,0,4,1,20,1,good
361,4,7,19,20,0,9,1,13,110,good
23,2,3,0,0,0,0,1,14,1,bad
55,2,5,0,0,0,0,1,16,31,good
112,2,3,3,1,0,1,1,41,1,bad
222,3,5,4,1,0,6,1,19,26,good
42,2,4,0,0,0,0,1,15,19,good
54,2,5,0,0,0,1,1,17,15,good
70,2,3,0,1,0,1,1,15,8,good
34,2,3,0,0,0,0,1,25,1,bad
39,2,3,0,0,0,0,1,30,1,bad
60,3,3,1,0,0,0,1,43,9,bad
1880,8,4,12,9,0,7,1,18,9,good
97,4,3,1,0,0,0,1,76,13,bad
44,2,5,1,0,0,0,1,17,19,good
150,3,5,3,0,0,1,1,15,42,good
71,1,4,1,0,0,0,1,11,52,bad
84,3,2,1,0,0,0,1,76,0,bad
19,1,2,0,0,0,0,0,12,0,bad
88,2,7,0,0,0,1,1,15,10,good
92,2,3,1,0,0,3,1,15,6,good
37,2,5,0,0,0,0,1,16,13,bad
294,3,7,13,2,1,3,1,19,2,good
91,2,3,0,0,0,3,1,15,6,good
39,2,3,0,0,0,0,1,14,17,good
51,2,3,0,0,0,1,1,15,1,good
34,2,3,1,0,0,0,1,25,1,bad
1177,12,5,16,12,0,14,1,11,17,good
35,2,3,0,0,0,0,1,26,1,bad
43,3,3,0,0,0,0,1,34,1,bad
55,3,3,0,0,0,1,1,16,12,good
119,2,7,7,0,0,0,1,16,95,good
36,2,3,0,0,1,0,1,15,13,good
35,2,3,0,0,0,0,1,26,1,bad
79,1,4,1,0,0,0,1,19,52,bad
44,2,5,0,0,0,0,1,17,19,good
49,2,3,0,0,0,1,1,16,1,good
43,2,3,0,0,0,1,1,15,6,good
80,2,7,2,0,0,0,1,10,62,good
189,1,8,19,0,0,2,1,12,123,good
23,1,4,0,0,0,0,1,11,4,bad
62,3,3,3,0,0,0,1,53,1,bad
321,4,6,0,0,0,10,1,19,23,good
87,3,8,1,0,0,0,1,32,47,bad
43,3,3,0,0,0,0,1,34,1,bad
60,3,3,1,0,0,0,1,43,9,bad
477,2,3,9,15,0,19,1,16,19,good
90,2,5,1,1,0,0,1,11,71,bad
78,2,9,0,0,0,0,1,20,50,good
40,2,3,0,0,0,0,1,23,1,bad
126,2,5,2,0,0,3,1,14,48,good
38,2,3,0,0,0,0,1,29,1,bad
77,2,7,1,0,0,1,1,17,48,good
2222,11,4,5,8,0,7,1,18,8,good
88,2,5,0,0,0,0,1,16,63,good
43,2,3,0,0,0,1,1,15,6,good
472,12,7,1,3,0,8,1,19,36,good
28,1,3,1,0,0,0,1,19,1,bad
44,2,4,0,1,0,0,1,17,19,good
62,3,3,1,0,0,0,1,43,11,bad
124,7,6,1,0,1,1,1,11,8,bad
117,5,5,1,0,0,0,1,23,86,bad
157,2,7,0,0,0,1,1,15,10,good
35,2,3,1,0,0,0,1,26,1,bad
52,3,5,1,0,0,1,0,14,26,bad
37,2,3,0,0,0,0,0,22,8,bad
74,3,9,0,0,0,0,1,10,56,good
252,3,3,0,2,0,10,1,14,7,good
72,2,7,0,0,0,0,1,15,10,good
586,6,6,1,4,0,12,1,19,24,good
201,2,3,0,0,0,4,1,20,1,good
109,4,5,0,0,0,0,1,23,78,bad
68,1,4,6,0,0,0,1,17,43,good
88,3,2,0,0,0,0,1,80,0,bad
25,1,4,1,0,0,0,1,14,1,bad
48,2,3,0,0,0,1,1,15,6,good
100,2,3,1,0,0,4,1,15,6,good
104,3,6,0,0,0,0,1,23,73,bad
111,4,6,0,0,0,0,1,23,80,bad
44,2,5,0,0,0,0,1,17,19,good
42,2,4,0,0,0,0,1,15,19,good
18,1,3,0,0,0,0,1,9,1,bad
112,2,6,3,1,0,0,1,17,87,bad
72,2,7,0,0,0,0,1,15,10,good
44,2,5,0,0,0,0,1,17,19,good
43,3,3,0,0,0,0,1,34,1,bad
178,3,7,1,2,0,4,1,15,108,bad
49,3,3,1,0,0,0,0,30,12,bad
59,3,4,0,1,0,1,1,14,11,good
38,1,4,0,0,0,0,1,8,22,bad
72,1,4,6,0,0,0,1,18,46,good
34,2,3,1,0,0,0,1,25,1,bad
117,1,5,7,0,0,0,1,10,99,good
80,2,7,2,0,0,0,1,10,62,good
343,3,3,1,4,0,12,1,14,7,good
493,6,6,2,3,0,13,1,19,24,good
375,2,4,6,6,0,11,1,17,17,good
150,3,6,3,0,0,1,1,15,43,good
52,2,5,1,1,0,1,1,17,15,good
37,2,4,0,0,0,0,1,13,16,bad
38,2,3,1,0,0,0,1,29,1,bad
98,3,8,4,3,0,0,1,22,68,bad
48,2,3,0,0,0,1,1,16,8,good
71,1,4,1,0,0,0,1,11,52,bad
96,3,4,0,0,0,0,1,23,65,bad
61,1,4,2,0,0,0,1,10,43,good
107,2,5,1,0,0,0,1,19,80,bad
601,7,6,8,9,0,5,1,19,17,good
96,3,4,0,0,0,0,1,23,65,bad
36,2,3,1,0,0,0,1,27,1,bad
42,2,4,0,0,0,0,1,15,19,good
64,2,6,0,0,0,0,1,17,39,good
34,2,3,1,0,0,0,1,25,1,bad
84,3,2,1,0,0,0,1,76,0,bad
98,1,3,6,0,0,1,1,11,63,good
43,2,3,1,0,0,0,1,34,1,bad
38,2,3,1,0,0,0,1,29,1,bad
76,1,8,3,2,0,0,1,11,57,bad
85,3,3,1,0,0,0,1,76,1,bad
96,3,4,0,0,0,0,1,23,65,bad
50,3,4,0,0,0,0,1,27,15,bad
42,2,4,0,0,0,0,1,15,19,good
41,2,3,0,0,0,0,1,32,1,bad
68,2,6,0,0,0,0,1,16,44,good
128,3,5,0,0,0,4,1,14,18,good
132,2,4,1,0,0,8,1,15,10,good
343,3,3,1,4,0,12,1,14,7,good
43,2,3,0,0,0,1,1,15,6,good
68,3,4,1,0,0,0,1,17,17,good
42,2,4,1,1,0,0,1,15,19,good
88,2,3,0,0,0,4,1,20,1,good
109,2,7,9,0,0,0,1,16,85,good
119,3,6,3,0,0,1,1,15,51,good
44,2,5,0,0,0,0,1,17,19,good
85,3,3,1,0,0,0,1,76,1,bad
23,1,3,0,0,0,0,1,14,1,bad
67,2,5,0,2,0,0,1,17,42,good
43,4,3,0,0,0,0,1,16,19,good
42,2,3,0,0,0,0,1,33,1,bad
110,2,7,0,1,0,1,1,15,76,bad
84,3,2,1,0,0,0,1,76,0,bad
62,3,3,1,0,0,0,1,43,11,bad
398,2,3,1,2,0,9,1,14,7,good
44,2,5,0,0,0,0,1,17,19,good
88,1,6,7,0,0,0,1,16,64,good
62,2,3,0,1,0,1,1,15,8,good
99,2,7,0,0,0,0,1,15,76,good
96,2,3,1,0,0,4,1,15,6,good
27,3,3,0,0,0,0,1,18,1,bad
35,2,3,1,0,0,0,1,26,1,bad
118,3,3,2,2,0,1,1,47,10,bad
60,3,4,0,1,0,1,1,16,11,good
102,1,7,2,2,0,0,1,10,84,good
52,3,3,2,0,0,0,1,43,1,bad
32,3,3,0,0,0,0,0,24,1,bad
59,2,5,4,0,0,0,1,16,35,bad
44,2,5,0,1,0,0,1,17,19,good
24,2,3,0,0,0,0,1,15,1,bad
107,2,7,4,0,0,0,1,16,83,good
17,1,3,0,0,0,0,0,9,1,bad
1170,8,6,8,12,0,7,1,11,49,good
44,2,5,0,0,0,0,1,17,19,good
51,3,4,0,0,0,0,1,21,22,bad
33,2,3,0,0,0,0,1,24,1,bad
47,2,4,0,0,0,0,1,16,23,bad
61,3,5,0,0,0,0,1,20,21,bad
92,2,3,1,1,0,3,1,15,6,good
178,3,7,2,2,0,4,1,15,108,bad
85,3,3,1,0,0,0,1,76,1,bad
72,2,7,0,0,0,0,1,15,10,good
52,2,3,0,0,0,2,1,17,7,good
18,1,3,0,0,0,0,1,4,6,bad
85,2,4,0,0,0,0,1,28,49,bad
59,1,4,3,0,0,0,1,10,41,good
32,2,3,0,0,0,0,1,23,1,bad
541,4,5,15,3,0,7,1,19,26,good
32,2,3,0,0,0,0,1,23,1,bad
125,1,6,9,0,0,2,1,12,59,good
830,15,7,8,9,0,10,1,19,36,good
151,2,6,7,0,0,1,1,16,105,good
28,1,4,1,0,0,0,1,13,7,bad
48,2,6,0,0,0,0,1,13,27,bad
42,2,4,0,0,0,0,1,16,18,bad
48,1,5,0,0,0,0,1,15,25,good
541,4,5,14,4,0,7,1,19,26,good
457,23,8,15,8,0,0,0,101,349,bad
23,1,3,0,0,0,0,1,4,11,bad
208,4,3,3,0,0,2,1,38,5,bad
65,2,5,2,0,0,0,1,15,41,good
94,3,5,4,0,0,0,0,42,45,bad
50,1,3,0,0,0,3,1,15,7,good
72,2,7,0,0,0,0,1,15,10,good
75,2,3,0,0,0,4,1,20,1,good
33,2,3,2,0,0,0,1,24,1,bad
405,7,10,4,2,0,8,0,12,21,bad
25,1,3,0,0,0,0,1,16,1,bad
52,3,4,0,0,0,1,1,16,9,good
77,2,7,1,0,0,1,1,17,48,good
33,3,3,0,0,0,0,1,24,1,bad
87,3,2,1,0,0,0,1,79,0,bad
72,2,7,0,0,0,0,1,15,10,good
52,2,5,0,1,0,1,1,17,15,good
45,2,4,0,2,0,0,0,11,27,bad
55,1,3,0,0,0,2,1,15,6,good
143,3,4,0,1,0,4,1,19,17,good
62,3,3,1,0,0,0,1,43,11,bad
33,2,3,1,0,0,0,1,24,1,bad
23,2,3,0,0,0,0,0,15,1,bad
149,2,6,3,0,0,1,1,16,100,good
97,3,5,0,0,0,0,1,23,66,bad
468,4,5,14,2,0,7,1,19,26,good
136,1,7,8,0,0,0,1,10,118,good
70,2,6,0,2,0,0,1,16,46,good
38,2,3,1,0,0,0,1,29,1,bad
62,3,6,0,0,0,0,0,24,31,bad
113,2,8,4,0,0,0,1,16,88,good
92,2,3,0,0,0,4,1,20,1,good
42,2,4,0,0,0,0,1,15,19,good
91,2,3,1,1,0,3,1,15,6,good
431,5,6,0,3,0,7,1,18,41,good
113,2,8,4,0,0,0,1,16,88,good
110,4,5,0,0,0,0,1,23,79,bad
